UID,DATETIME,10m_rainfall,1hr_rainfall,3hr_rainfall,rainfallobservation_position_lat,rainfallobservation_position_lon,gutter_level,gutter_height,gutter_position_lat,gutter_position_lon,river_level,bridge_name,riverobservation_position_lat,riverobservation_position_lon,danger_level
7_I,2023-08-31 06:18:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.229,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:19:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.227,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:20:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.228,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:21:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.226,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:22:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.226,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:23:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.226,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:24:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.226,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:25:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.225,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:26:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.224,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:27:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.225,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:28:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.223,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:29:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.223,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:30:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.222,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:31:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.224,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:32:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.223,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:33:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.223,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:34:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.221,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:35:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.222,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:36:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.221,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:37:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.22,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:38:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.22,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:39:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.219,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:40:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.219,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:41:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.219,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:42:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.218,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:43:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.218,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:44:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.218,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:45:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.218,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:46:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.217,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:47:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.216,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:48:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.215,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:49:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.216,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:50:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.216,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:51:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:52:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:53:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:54:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:55:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.215,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:56:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:57:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:58:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:59:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:00:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.215,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:01:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.215,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:02:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.215,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:03:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.215,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:04:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.214,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:05:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.215,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:06:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.215,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:07:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.216,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:08:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.217,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:09:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.218,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:10:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.218,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:11:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.217,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:12:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.22,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:13:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.226,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:14:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.234,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:15:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.247,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:16:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.26,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:17:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.268,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:18:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.267,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:19:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.26,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:20:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.25,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:21:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.243,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:22:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.239,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:23:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.236,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:24:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:25:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:26:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.229,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:27:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.228,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:28:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.228,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:29:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.228,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:30:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.228,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:31:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.229,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:32:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:33:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:34:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:35:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:36:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:37:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 07:38:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.234,Sebyeong,35.196918,129.082638,0
